"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","Ros","+/-"
"*03pol*","Jake Woodford","TB","RP","844","FA","29","@ATL Wed 7:15PM","34.11","1%","0%"
"*0569p*","Coleman Crow","MIL","SP","845","FA","25","CHC Wed 7:40PM","34.02","15%","0%"
"*051gc*","Bradley Hanner","NYY","RP","847","FA","27","COL Wed 7:05PM","33.98","1%","0%"
"*04erh*","CJ Van Eyk","TOR","SP","848","FA","27","TOR 0<br/>@ATH 2 F","33.91","2%","0%"
"*04erc*","Ron Marinaccio","MIN","RP","851","FA","31","MIN 2<br/>@DET 7","33.85","1%","0%"
"*02n6w*","Ryan Borucki","CLE","RP","853","FA","32","@BAL Wed 6:35PM","33.76","1%","0%"
"*041am*","Lucas Erceg","KC","RP","855","FA","31","ARI Wed 7:40PM","33.72","20%","0%"
"*051b2*","Paxton Schultz","WSH","RP","856","FA","28","WSH 2<br/>@SD 3","33.68","2%","0%"
"*05yf9*","Carlos Rodriguez","MIL","RP","868","FA","24","CHC Wed 7:40PM","32.97","5%","0%"
"*051dl*","Edouard Julien","COL","1B,2B,INF","870","FA","27","@NYY Wed 7:05PM","32.89","9%","0%"
"*04elu*","Tom Cosgrove","WSH","RP","876","FA","30","WSH 2<br/>@SD 3","32.35","1%","0%"
"*04eoy*","Hunter Stratton","SD","RP","878","FA","29","WSH 2<br/>@SD 3","32.25","1%","0%"
"*04efn*","Keegan Thompson","COL","RP","884","FA","31","@NYY Wed 7:05PM","31.94","1%","0%"
"*04oc6*","Jhonathan Diaz","SEA","RP","886","FA","29","TEX 1<br/>@SEA 3","31.92","1%","0%"
"*04pql*","Ethan Roberts","CHC","RP","888","FA","29","@MIL Wed 7:40PM","31.82","1%","0%"
"*05rkq*","Jose Fernandez","ARI","1B,3B,SS,INF","892","FA","22","@KC Wed 7:40PM","31.64","18%","-1%"
"*0648k*","Paul Gervase","LAD","RP","895","FA","26","CIN Wed 10:10PM","31.45","1%","0%"
"*066m0*","Kohl Drake","ARI","SP","898","FA","26","@KC Wed 7:40PM","31.28","9%","0%"
"*043r7*","Caleb Ferguson","STL","RP","900","FA","30","STL 6<br/>@SF 1","31.17","3%","0%"
"*06aw2*","Samuel Aldegheri","LAA","SP,RP","901","FA","24","@BOS Wed 6:45PM","31.16","7%","0%"
"*03111*","Marco Gonzales","TEX","SP","903","FA","34","TEX 1<br/>@SEA 3","31.1","1%","0%"
"*02j77*","Chris Martin","TEX","RP","904","FA","40","TEX 1<br/>@SEA 3","31","5%","0%"
"*050s3*","Blake Walston","ARI","SP","907","FA","25","@KC Wed 7:40PM","30.74","5%","0%"
"*05xq0*","Alek Jacob","SD","RP","909","FA","28","WSH 2<br/>@SD 3","30.68","1%","0%"
"*062pn*","David Sandlin","CHW","SP,RP","910","FA","25","PIT Wed 7:40PM","30.68","14%","0%"
"*03mgq*","Jonathan Hernandez","LAD","RP","911","FA","30","CIN Wed 10:10PM","30.66","1%","0%"
"*06elo*","Matt Svanson","STL","RP","914","FA","27","STL 6<br/>@SF 1","30.23","5%","0%"
"*05r1d*","Jordan Wicks","CHC","RP","917","FA","27","@MIL Wed 7:40PM","30.19","4%","0%"
"*04el7*","Max Lazar","PHI","RP","918","FA","27","HOU Wed 6:40PM","30","1%","0%"
"*05jp3*","Logan Allen","CLE","SP,RP","924","FA","28","@BAL Wed 6:35PM","29.63","14%","-2%"
"*05r3s*","Alejandro Osuna","TEX","OF","926","FA","23","TEX 1<br/>@SEA 3","29.6","6%","0%"
"*06309*","Trevor Martin","LAA","RP","931","FA","25","@BOS Wed 6:45PM","29.32","1%","0%"
